Splat,Category,Name,Dots/Xp,Type,Resonance,Flavor,System
DragonBlooded,General Terrestrial,Excellence of the Five Dragons: (Ability) ,1,,,"By drawing upon the latent Essence of her aspect element, the Dragon-Blood may incredible feats.","Select one Ability when purchasing this Charm. At any time, the player may reflexively spend 1 Mote to add (that Ability rating) dice to all rolls using this Ability for (Essence rating + 1) rounds in combat, or minutes outside of combat.
This Charm can be repurchased to unlock additional Abilities, but Motes must be spent to add dice to each Ability separately. Only those versions of this Charm which correspond to an Exalt’s Aspect Abilities are eligible for an aspect affinity discount. Dragon-Blooded begin play with all versions of Excellence of the Five Dragons which correspond to their Aspect and Favored Abilities."
DragonBlooded,General Terrestrial,Dragon-Blessed Stride ,1,,"Athletics,Survival","The Dragon-Blooded attunes her elemental nature to an untamed landscape matching her aspect, and moves through it as though it were a clear roadway.","Reflexively spend 1 Mote to navigate a certain form of difficult terrain without being forced to employ complex movement.
• Air: The Exalt can move through deep snow and on slippery ice unimpeded.
• Earth: The Exalt can move through debris fields, steep mountainsides, and the uneven floor of caves unimpeded.
• Fire: The Exalt can cross shifting and treacherous sand slopes and dune faces unimpeded.
• Water: The Exalt can move through deep mud and waist-high water unimpeded.
• Wood: The Exalt can move through tangled thickets and choked undergrowth unimpeded.
This Charm lasts until the sun next rises or sets. It can be repurchased to obtain the effects of a non-native Aspect, but only one effect can be used at a time. Repurchases are not considered general Charms, and use the Resonance listed."
DragonBlooded,General Terrestrial,Dragon-Graced Assault ,1,,"Archery,Melee","The Dragon-Blooded imbues an attack with the surging power of elemental Essence. This is the source of fists wreathed in flame, arrows trailing lightning bolts, and blades studded with thorns.","Reflexively spend 1 Mote to enhance all attacks made during the next (1 + Essence rating) rounds. The effects of this Charm depend on the Exalt’s Aspect: • Air: The attack is surrounded by buffeting winds and crackling lightning. Add +3 to its base damage, and if the target suffers any damage after soak, they are knocked sprawling to the ground; they must climb back to their feet on their next turn, a form of complex movement that leaves them unable to move to another zone.
• Earth: The attack is studded with jagged protrusions of stone and crystal. Add +3 to its base damage, and the target is momentarily stunned; their next action suffers a –2 dice penalty.
• Fire: The attack is wreathed in flames. Add +4 to its base damage.
• Water: A concentrated edge of water cuts through defenses. Protagonists suffer a –3 dice penalty to their soak pool. Antagonists decrease their soak value by –1.
• Wood: The attack is covered in bristling thorns. Add +3 to its base damage. Anyone who suffers damage from the attack increases their wound penalties by one for the rest of the scene as a painful toxin burns through their body.
Dragon-Graced Assault can be repurchased to obtain the effects of a non-native Aspect, but only one effect can enhance any single attack. Repurchases are not considered general Charms, and use the Resonance listed."
DragonBlooded,General Terrestrial,Dragon-Marked Hooves ,1,,Ride,"Spurring her mount on to an all-out gallop, the Dragon-Blooded channels her Essence through it, leaving a dangerous hazard in her wake.","Reflexively spend 1 Mote while riding a mount all-out to transform the ground it crosses into a hazard. The exact manifestation depends on the character’s Aspect.
• Air: A massive blast of turbulent air trails in the Exalt’s wake, raising the difficulty to close in on her by +2.
• Earth: The mount’s hooves or feet chew up the ground, both pulverizing its surface and pulling up spikes of jagged stone from deep within the earth. Pursuers must succeed at a Perception + Awareness roll against difficulty 8 or else be violently dismounted or knocked down, with both rider and mount being forced to soak four levels of bashing damage. They must climb back to their feet on their next turn, a form of complex movement that leaves them unable to move to another zone.
• Fire: The ground catches fire in the Exalt’s wake, creating an environmental hazard that inflicts four level of lethal damage to anyone who fails a difficulty 7 Wits + (Athletics or Ride) roll to avoid it.
• Water: A slick of ice coats the ground where the Exalt passes, causing anyone trying to pursue her to subtract successes on results of both 1 and 2, and to suffer a botch if reduced to no successes by 1s and 2s.
• Wood: Grasping vines smash up through the ground and quickly choke its surface. Everyone trying to move through the mess suffers a –3 die penalty to do so.
This Charm lasts as long as the Exalt keeps her mount running all-out. It can be repurchased to obtain the effects of a non-native Aspect, but only one effect can be used at a time. Repurchases are not considered general Charms, and use the Resonance listed."
DragonBlooded,General Terrestrial,Elemental Bolt Attack ,1,,,"The Dragon-Blooded concentrates her Essence into a weapon, hurling a deadly elemental manifestation at her enemies. This manifestation varies based on her Aspect: Air Aspects hurl a lightning bolt; Earth Aspects, a jagged stone spike; Fire Aspects, a bolt of flame; Water Aspects, a lance of gleaming ice; and Wood Aspects, a wooden javelin.","The Exalt is always armed with a Dexterity + Thrown weapon which can target opponents up to one zone away, with a base damage of 6L. If she opts to spend 1 Mote when making an attack, this weapon’s base damage increases to 8L.
A group of Dragon-Blooded who know this Charm can coordinate their use of it through a single leader. If they all opt to hold their action until all of their opponents have acted, they can nominate a single one of their number as a leader. This individual makes an attack roll to use Elemental Bolt Attack, with its base damage boosted by +3L for each Exalt supporting her.
Anyone supporting the main attacker forfeits their turn to feed her power. Each participant who spends 1 Mote increases the base damage of the bolt by a further +2L."
DragonBlooded,General Terrestrial,Elemental Sheath ,1,,,"The Dragon-Blooded pushes a weapon or small object into a manifestation of her aspect element such as a large stone, a roaring fire, or a pool of water. Later, she may retrieve it from another such manifestation.","Sheathing an object in her aspect element costs only a turn spent in concentration.
Retrieving it later requires either another turn, or else the reflexive expenditure of 1 Mote."
DragonBlooded,General Terrestrial,(Element)-Protection Form ,2,,"Resistance,Survival","The Dragon-Blooded enfolds herself in her Aspect element, gaining protection from its hostile manifestations.","Spend 1 Mote to activate this Charm. For the rest of the scene, the Dragon-Blooded is immune to environmental damage from her Aspect element (such as storms, avalanches, wildfires, and the like), and lowers the difficulty to soak direct attacks using that element by –1.
This Charm may be re-purchased (in which case its Resonance comes into play) to gain protection from other elements as well, though each version of the Charm must be activated separately. (Metal, it should be noted, is not considered to fall under the direct protection of any element.) Fire Aspects do not treat this as a general Charm, and can skip directly to purchasing protection from other elements, since their anima power already provides comprehensive protection from fire."
DragonBlooded,General Terrestrial,Elemental Succor Method ,2,,,"By seeking refuge in her element, the Dragon-Blood may rapidly restore herself to health.","By resting while surrounded by a potent manifestation of her Aspect — strong winds or intense cold, bare soil, intense heat, immersing water, or growing things — the Dragon-Blood may heal bashing damage at a rate of one level every fifteen minutes, and lethal damage at a rate of one level per hour."
DragonBlooded,General Terrestrial,Elemental Empowerment Meditation ,3,,,"In extreme circumstances, the character may cannibalize her Aspect element for power, ripping the Essence out of the world and leaving it injured and barren.","Spend 1 Willpower and roll (Strength or Intelligence) + Occult (difficulty 7) in the presence of a significant manifestation of the character’s aspect element (strong winds, great stoneworks, roaring flames, etc). Each success restores one Mote, but also destroys or ruins the focus of this Charm: stone crumbles, the wind stills, water becomes stagnant, plants die, fires are extinguished. Additionally, natural disasters befall all spirit sanctums within a mile of the point where this Charm is used: they are lashed by powerful hurricane-force winds, shaken by earthquakes, scoured by wildfires, and so on, inflicting significant damage to the divine structures and belongings within. Habitual use of this Charm tends to enrage the little gods."
DragonBlooded,General Terrestrial,Fivefold Dragon Shout ,3,,"Presence,War","The Dragon-Blooded dredges up all the power of her Essence, and releases it as a mighty roar which bathes the battlefield in a wild and uncontrolled manifestation of elemental fury.","Spend 2 Motes and roll Charisma + (Presence or War) against difficulty 6. A blast of unleashed elemental power washes over everyone within one contiguous zone for each success rolled, starting with the zone the Dragon-Blooded occupies.
• Air: For Air Aspects, this is the Storm-Throated Thunder Shout. Everyone caught in the blast must soak 3 levels of bashing damage and is knocked prone; they must climb back to their feet on their next turn, a form of complex movement that leaves them unable to move to another zone.
• Earth: For Earth Aspects, this is the Earth-Shattering Dragon Roar. Everyone caught in its area of effect must soak 2 levels of bashing damage, suffers –1 die to all actions for the next two rounds, and is knocked prone; they must climb back to their feet on their next turn, a form of complex movement that leaves them unable to move to another zone.
• Fire: For Fire Aspects, this is the Incendiary Dragon Shout. Everyone caught in its area of effect must soak three automatic levels of lethal damage. The blast leaves particularly flammable objects still burning.
• Water: For Water Aspects, this is the All-Consuming Tsunami Shout. Everyone caught in its area of effect must soak one automatic level of bashing damage, and their lungs are also filled with water. They suffer a –3 dice drowning penalty on all actions until they successfully use a turn to make a Stamina + Resistance roll (difficulty 7) to vomit up a great quantity of water.
• Wood: For Wood Aspects, this is the Verdant Cry of the Wood Dragon. Everyone caught in its area of effect must soak two automatic levels of lethal damage, and the area is left covered in tangles of sudden plant growth that makes all movement undertaken within the affected area by anyone other than the Exalt herself into complex movement.
This Charm can be repurchased to obtain the effects of a non-native Aspect, but only one effect can be used at a time. Repurchases are not considered general Charms, and use the Resonance listed."
