Splat,Category,Name,Dots/Xp,Essence,Type,Resonance,Flavor,System
Lunar,General Lunar,Excellence of the Shifting Moon: (Ability) ,1,1,,,"By suffusing herself with pure Essence, the Lunar pay perform incredible feats.","Select one Attribute when purchasing this Charm. At any time, the player may reflexively spend 1 Mote to add (the Attribute being rolled) in dice to all rolls using that Attribute for (Essence rating + 1) rounds in combat, or minutes outside of combat.
This Charm can be repurchased to unlock additional Attributes, but Essence must be spent to add dice to each Attribute separately. Lunars begin play with all versions of Excellence of the Shifting Moon which correspond to their Caste and Favored Attributes.
Lunar Attributes Unless it says otherwise, any Lunar Charms which modify something by a value equal to a Lunar’s Attribute use the dots permanently recorded on her character sheet for her human form when applying that modification, not the Attribute rating of whatever form she happens to be wearing. Thus, a Lunar with Strength 2 who turns into an elephant and uses Excellence of the Shifting Moon to add dice to a Strength + Brawl roll only adds two extra dice."
Lunar,General Lunar,Changing Plumage Mastery ,1,1,,,"The Lunar may recast her appearance through the application of Essence and will, making minor cosmetic changes to her body.","Spend 1 Mote and roll Appearance + Presence (difficulty 6). For each success, the Lunar may change one feature about her appearance from the following list: • Hair length, presence, and/or texture (including facial and body hair).
• Hair color.
• Eye color.
• Skin color.
• Apparent age.
• Height.
• Build and weight.
• Facial or bodily features (cheekbone structures, shape of chin, presence or absence of scars or tattoos, weathering, etc).
• The Lunar may transform her sexual characteristics, assuming a fully male, female, intersex, or androgynous or sexless body. This is no mere cosmetic transformation; if the Lunar gives their body reproductive organs, they are fully functional.
Changing Plumage Mastery can’t remove or alter the Mark of Luna or hide a Lunar’s moonsilver tattoos. If used on any of the Lunar’s true forms, the changes wrought by this Charm last until Changing Plumage Mastery is used again to manually revert them one by one, and are otherwise permanent. If used to alter any form from her shapeshifting library, the changes vanish once the Lunar shifts out of that form, and are not present when she next dons it. This Charm may be used repeatedly to stack up a dramatic number of alterations.
Gender, Pregnancy, and Shapeshifting Luna is traditionally styled as female in her titles, but has not shown offense at being addressed by any set of gendered terms regardless of the form she was wearing at the time — and those forms are often something other than strictly female. Is it any wonder her Chosen have an ambiguous relationship with sex and gender? While every Lunar is certainly born into a body with certain sexual characteristics, the Chosen of the Moon fundamentally have no “true” sex. Through the auspices of Changing Plumage Mastery and their shapeshifting library, they may be whatever they wish to be. Lunar shapeshifting is not an illusory process; a Lunar’s physical anatomy changes when she transforms herself, possibly into a different sexual configuration than the one she was born with, and usually into a different species as well.
As a result, Lunars have a complex relationship with the idea of gender. Many strongly identify with a certain gender (often but not always the one they were born with) and consider transformations that take them outside of their preferred body type to be temporary masquerades. Others take a more relaxed or fluid outlook, adopting the attitudes and expectations of whatever shape they happen to be wearing, or changing their internal self-image depending on their feelings of the moment without regard for their body’s current shape. A few consider themselves above the constraints of gender identity altogether and simply treat their mutable anatomy as a convenience to be shaped to whatever best suits their needs, or grant themselves forms that transcend or transgress binary divisions.
All that being said, pregnancy forms a particular concern since the Lunar shares her body with another being for its duration (or at least the potential for one; people in Creation are ensouled upon taking their first breath outside their mother’s body).
While any form with male anatomy is capable of impregnating others, in order to become pregnant herself, the Lunar must possess a womb in her true form, and may only be impregnated while wearing either one of her true forms or a shape of the same species as one of her true forms with the relevant anatomy. Usually what that means is that she can be impregnated while wearing other human guises via Prey’s Skin disguise. Usually. (Older Lunars tend to view sexual taboos of any kind as quaint and amusing.) Meanwhile, those who lack childbearing anatomy in their true form need not worry about becoming pregnant while wearing alternate forms from their shapeshifting library.
As to how much pregnancy constrains a Lunar, it mostly doesn’t. The Lunar is always visibly pregnant in her true forms once the process gets far enough along, but can hide the condition in other forms capable of childbearing by increasing the difficulty of the shapeshifting roll by +1. While doing so, or while wearing body configurations that lack a womb or are too small to accommodate the developing fetus, the child continues to gestate Elsewhere. If the Lunar decides to do away with her true form’s womb during pregnancy via Changing Plumage Mastery, this terminates the fetus as her body painlessly reclaims its borrowed flesh."
Lunar,General Lunar,Chimerical Ascension ,1,1,,,"Giving her flesh and mind over to the beast within her soul, the Lunar fortifies her rage form with additional beastly or otherworldly features. These new alterations need not match the Lunar’s Feral Heart. Though this Charm is, itself, relatively safe, the eldest members of the Silver Pact tend to keep those who cultivate it at arm’s length either out of distrust or because their hybrid form stirs up painful memories.
A character must know Chain-Eating Guise to learn this Charm.","The Lunar adds one new Aspect to her rage form. This Charm may be purchased as many times as desired, but while the Lunar has more purchases of this Charm than her Essence rating, she suffers one permanent Derangement (see p. XX) per purchase over that limit, as her mind is consumed by bestial impulses and instincts."
Lunar,General Lunar,Hide of the Cunning Hunter ,1,1,,,"Though it pains her to do so, the Lunar can forcibly hide the marks of Luna’s blessing upon her flesh.","The Lunar may spend 1 Mote and a turn in concentration to cause her moonsilver tattoos to vanish, becoming impossible to spot. Additionally, three successes are required to spot her Tell. Flaring her anima ends this Charm, causing her tattoos to burst into brilliantly illuminated visibility and stripping its protection from her Tell.
The Lunar may reflexively end Hide of the Cunning Hunter at any time she likes, making her tattoos visible and returning the difficulty to spot her Tell to normal."
Lunar,General Lunar,Humble Mouse Shape ,1,1,,,"The Lunar expands her shapeshifting prowess, learning to don the forms of animals smaller than a housecat. Forms taken with this Charm must still be easily visible to the naked eye, and so while mice and most spiders are valid, fleas are not.",This Charm’s effects are permanent. This Charm must be taken during character creation to have a Feral Heart smaller than a housecat. It is possible to use the Sacred Hunt to stock the character’s shapeshifting library with tiny forms prior to learning this Charm; they’re simply not usable until Humble Mouse Shape has been mastered.
Lunar,General Lunar,Hybrid Body Rearrangement ,1,1,,,The Lunar may conjure a particular beastly feature into whatever shape she currently wears.,"Spend a turn in concentration and roll the Lunar’s Essence rating against difficulty 7 to manifest one or more of her Feral Heart or rage form’s Aspects while wearing a different shape.
Alternately, reflexively spend 1 Mote to manifest the Aspects without need of an action or a dice roll. This feature remains present until this Charm is used again to dismiss it, or until the Lunar changes into a different form.
Hybrid Body Rearrangement can be repurchased as many times as desired. Each additional purchase adds a new Aspect to the Lunar’s options for this Charm, based on some form in her shapeshifting library."
Lunar,General Lunar,Intimate Training Recollection ,1,1,,,"The great limitation of the Lunar’s human faces is that she takes only the shape and not the knowledge. With mastery of this Charm, the Lunar may also snatch fleeting bits of knowledge from the human shapes in her form library. She must know Prey’s Skin Disguise to learn this Charm.","In a situation where the Lunar is in danger of being uncovered as an impostor because she doesn’t know something her current form’s original owner would have, or because she has said or done something incongruent with her current form’s personality, the Lunar may reflexively spend 1 Mote and make a Wits + Empathy roll to dredge the correct response to smooth things over from the depths of the shape’s history and to immediately enact it or blurt it out without any contextual understanding of what she’s doing or saying beyond knowing it’s the right thing.
Intimate Training Recollection can only be activated when the Lunar feels in genuine danger of blowing her cover. She can’t use this to go fishing for the form’s secrets, for example by having another Lunar leer suspiciously at her, because she knows there’s no real deception and no stakes attached to being found out."
Lunar,General Lunar,Monkey Arm Style ,1,1,,,"The Lunar may stretch any part of her body out, permitting her to strike or grab from a frightening distance. This Charm is normally used to enhance a character’s limbs, but might also grant her a long, flexible serpentine neck or even stranger anatomical transformations.","The Lunar might potentially lower the difficulty for interacting with hard-to-reach targets, as she can snake her body around corners or through twisty confines. She can launch Brawl, Martial Arts, and Melee attacks against targets in adjacent zones at +1 difficulty."
Lunar,General Lunar,Prey’s Skin Disguise ,1,1,,,"The Lunar expands her shapeshifting prowess. By performing the Sacred Hunt upon a human being, the Lunar may claim his appearance for her shapeshifting library.","Learning a specific human appearance works the same as hunting and consuming an animal form. The shapeshifting roll to assume a human skin is made at difficulty 7 rather than 6.
This Charm must be taken during character generation to buy the Stolen Faces Background."
Lunar,General Lunar,Rat-Head Technique ,1,1,,,"The Lunar can collapse her bones, allowing her to pour herself out of any sort of restraints or confinement, or even to squeeze through narrow pipes and cracks no larger than two of her fingers.","Spend 1 Mote to activate this Charm. For the rest of the scene, the Lunar can automatically escape from chains, ropes, or similar restraints if she gives up her action for the turn to concentrate on escaping, and can slowly squeeze herself through spaces that should be far too small to admit her as a form of complex movement. She may also use complex movement to move away from grapple-type powers and Charms such as Dragon Coil Technique, despite that they would normally immobilize her."
