Splat,Category,Name,Dots/Xp,Essence,Type,Resonance,Flavor,System
Sidereal,General Sidereal,Excellence of the Starry Vault: (Ability) ,1,1,,,"By manipulating the threads of fate to produce the most favorable possible outcome, the Sidereal  makes the impossible almost assured.","Select one Ability when purchasing this Charm.  At any time, the player may reflexively spend 1 Essence to lower the difficulty of all actions  using the Ability by –2 (though this can’t reduce a roll’s difficulty below 3) for (Essence rating +  1) turns in combat, or minutes outside of combat. Alternately, she may add her Essence rating in  dice for the same duration. For 1 Essence and 1 Willpower, she gains both effects from a single  invocation.
This Charm can be repurchased to unlock additional Abilities, but Motes must be spent to add  dice to or reduce the difficulty of each Ability separately. Sidereals begin play with all versions  of Excellence of the Starry Vault which correspond to their Caste and Favored Abilities."
Sidereal,General Sidereal,Auspicious Prospects ,1,1,,,"All Sidereals are intrinsically attuned to the vibrations of destiny, able to pluck guiding omens  from the patterns of the world around them: the color of a messenger boy’s shoes; the alignment  of clouds and tree branches and a passing flock of birds; a child’s nursery rhyme heard at a  certain moment. Any of these things might carry a freight of meaning for the Chosen, speaking  to her of destiny’s needs. Should she see to them, she furthers the health of the fabric of  Creation.","Once per session, the Sidereal may voluntarily spend 1 Mote and roll Wits + Occult  against difficulty 7. Success allows her to ask the Storyteller one question from her caste list,  which they must answer to the best of their ability.
Chosen of Journeys may ask the following: • Where should I go next? • Where, if anywhere, does [a person or object other than the Sidereal] need to go? Chosen of Serenity may ask the following: • Who here needs my help? • What do I need to bring into this person’s life? Chosen of Battles may ask the following: • Should I escalate or de-escalate this situation? • Which side of this conflict should triumph? Chosen of Secrets may ask the following: • Should this information be buried, or brought to light? • Who here, if anyone, has a secret that needs to be revealed? Chosen of Endings may ask the following: • What here, if anything, needs to be brought to an end? • What here, if anything, must not yet be allowed to come to an end? If the Sidereal brings about the result that destiny asks of her, she discards one point of Paradox.
Sometimes destiny doesn’t wait for the Sidereal to consult it. The Storyteller may also, at any  time of their choosing, simply tell the player that the omens are gathering and they recognize the  hand of destiny at work: that they realize a great journey awaits the person that has just brought  them their tea, or that a terrible and destructive secret is going to come to light if they do not  travel to Chiaroscuro with all speed, for example.
All Sidereals begin play with this Charm for free."
Sidereal,Journeys,Adopting the Untamed Face ,1,1,,Survival,"The Sidereal learns to bend the fate that processes all that is wild, untamed, and savage around  herself as a protective weave, aiding her in dealing with feral beasts.","Whensoever the Sidereal hunts, battles, befriends, tricks, tracks, or hides from any wild  beast or one of the Lunar Exalted, the difficulty of all of her actions is reduced by –1. At the  Storyteller’s discretion, this Charm may also assist against certain wilderness or beast-associated  Exigents as well."
Sidereal,Journeys,Dreaming the Wild Lands ,1,1,,Survival,"Mirroring her Essence to the land, the Sidereal rewrites the wilderness to suit her design. She  may shift the elevation of hills, subtly bend the curve of rivers, and move trees about in any way  that suits her. Wild animals also become furious or docile at her command.","Spend 2 Motes. For the next (Essence rating) days, the Sidereal may reshape the  landscape of any untamed wilderness in whatever fashion suits her. Man-made elements such as  hunting lodges, cabins, or roads are utterly immune to alteration by this Charm."
Sidereal,Journeys,Flight of Mercury ,1,1,,"Athletics,Martial Arts,Ride",The Sidereal asserts her destiny to travel even in the face of overpowering adversity.,"If an attack directed against the Sidereal before her turn fails to strike her, it does not  prevent her from reflexively moving to another zone that round. She may also do so even if an  attack against her does succeed (Essence rating) times per battle."
Sidereal,Journeys,Glory Path ,1,1,,"Athletics,Ride","Essence enwraps the character or her mount in a nimbus of yellow light, speeding her along her  path and ensuring no obstacle can stand in her way.","Spend 1 Mote while running or riding a mount. Until she stops moving, the Sidereal’s travel speed is tripled, and she can navigate any obstacle without crash or calamity. The Sidereal  can jump chasms, run up the side of buildings, speed over the surface of water, or ride through  the densely-packed stalls and foot traffic of Nexus’s Little Market without breaking anything or  knocking anyone down."
Sidereal,Journeys,Ox-Body Technique ,1,1,,"Athletics,Resistance,Survival","Destiny demands that the Sidereal endure until her appointed hour, and her body obeys.","The character permanently gains an additional (–0) health level.
This Charm can be purchased a number of times equal to the character’s Essence rating."
Sidereal,Journeys,Pain Amplification Stratagem ,1,1,,"Empathy,Thrown","The Sidereal touches her weapon to her face, just beneath her eye, and bleeds three drops of  blood upon it to symbolize the sorrow she might theoretically feel for the violence she is about to  inflict. Her weapon resonates with her targets’ pain, becoming unerringly deadly.","Reflexively spend 1 Mote. For the next (Essence rating + 1) rounds, all of the Sidereal’s  attacks reduce the difficulty of their damage rolls by the target’s current wound penalty. If the  target is negating their wound penalties by any means, this Charm has no power over them."
Sidereal,Journeys,Righteous Lion Defense ,1,1,,"Empathy,Sail,Survival",The Sidereal anchors her passions and convictions into the very foundation of destiny. The  weave of the world guarantees that her commitments endure.,"Any attempt to cause or force the Sidereal to betray, undermine, or abandon her  Intimacies automatically fails."
Sidereal,Journeys,Salt into Ash Sleight ,1,1,,"Empathy,Occult,Survival","Clapping her hands, the Sidereal momentarily surrounds a supernatural being in a brilliant  saffron aura. That being suddenly realizes that it has incredibly pressing business elsewhere. This  isn’t a trick or illusion: there really is an urgent reason for the target to journey elsewhere. This  Charm simply calls that fact to mind.","The Sidereal spends 1 Mote and a moment in concentration. Not only does the target  remember that it has pressing business elsewhere, but for the rest of the scene, all attempts to  drive the target away or cause him to depart — by any character, using any means, from  persuasion to violence — reduce their difficulty by one. This benefit also applies to damage rolls  on attempts to drive the creature off."
